Primo en posición,Tiempo de ejecución (s)
1,59.4210569858551
2,55.193296909332275
3,50.57628893852234
4,44.787888526916504
5,44.589946269989014
6,45.36899971961975
7,46.66221332550049
8,48.150317907333374
9,47.58997678756714
10,52.60269355773926
11,57.766395807266235
12,58.27718734741211
13,54.529027700424194
14,51.477429151535034
15,52.98091173171997
16,47.205870628356934
17,50.960750102996826
18,49.50687646865845
19,375.8083393573761
20,48.51219320297241
21,45.39274764060974
22,50.07025218009949
23,44.983426332473755
24,46.64953970909119
25,44.682146310806274
26,44.59931755065918
27,45.03356671333313
28,44.78145098686218
29,44.799858808517456
30,46.050779581069946
