Primo en posición,Tiempo de ejecución (s)
1,31.13521981239319
2,25.712512969970703
3,26.978880405426025
4,44.517642974853516
5,26.2211811542511
6,29.458723068237305
7,29.76754903793335
8,40.50951623916626
9,31.197524547576904
10,29.86858558654785
11,27.96028733253479
12,29.58312702178955
13,26.23871088027954
14,25.437249660491943
15,58.651275634765625
16,28.18755340576172
17,28.53909659385681
18,31.981226682662964
19,32.58878564834595
20,25.25485372543335
21,37.590622425079346
22,25.65889024734497
23,45.582077741622925
24,27.790072441101074
25,40.879079818725586
26,42.033539056777954
27,38.69584846496582
28,27.180339097976685
29,28.139992475509644
30,40.247469902038574
